"encoded_id";"survey_id";"Frequency_Classical_Encoded";"Frequency_Country_Encoded";"Frequency_EDM_Encoded";"Frequency_Folk_Encoded";"Frequency_Gospel_Encoded";"Frequency_HipHop_Encoded";"Frequency_Jazz_Encoded";"Frequency_Kpop_Encoded";"Frequency_Latin_Encoded";"Frequency_Lofi_Encoded";"Frequency_Metal_Encoded";"Frequency_Pop_Encoded";"Frequency_RB_Encoded";"Frequency_Rap_Encoded";"Frequency_Rock_Encoded";"Frequency_VideoGameMusic_Encoded"
1;1;1;0;2;1;0;0;3;0;0;0;0;2;1;0;3;1
2;2;1;1;2;0;0;1;0;1;2;0;0;3;0;0;0;1
3;3;3;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1
4;4;3;0;3;0;0;3;2;2;1;2;0;2;3;3;1;2
5;5;0;0;1;1;0;0;0;0;0;1;2;2;0;0;3;2
6;6;1;0;0;0;0;3;1;0;0;0;3;2;2;3;3;3
7;7;2;1;2;1;2;2;1;2;1;2;1;3;2;2;1;0
8;8;1;1;0;1;2;2;2;0;1;0;2;0;2;1;3;2
9;9;1;1;1;1;2;1;1;0;1;1;0;2;2;1;2;2
10;10;0;2;1;3;0;1;0;0;1;1;1;1;1;2;2;2
11;11;1;1;1;2;0;1;0;1;0;1;3;2;0;1;3;3
12;12;2;1;0;0;1;1;3;3;1;0;0;3;1;3;2;0
13;13;0;0;1;0;0;2;0;1;1;0;0;3;0;1;0;0
14;14;2;1;1;3;1;1;1;3;0;2;0;3;2;2;2;0
15;15;0;3;0;0;0;0;0;0;0;0;0;1;1;0;1;0
16;16;3;2;0;1;0;0;0;0;0;0;2;1;0;0;2;0
17;17;2;0;1;2;0;2;1;1;0;0;3;3;3;1;3;0
18;18;0;2;1;1;0;0;0;0;0;0;3;1;0;0;3;2
19;19;1;0;3;0;0;2;1;1;1;1;0;1;1;2;1;1
20;20;2;2;1;1;1;3;2;0;0;3;0;3;3;3;3;2
21;21;0;0;3;0;0;2;0;3;0;0;0;2;0;2;3;1
22;22;0;1;3;0;0;2;0;3;0;0;0;1;3;1;0;0
23;23;2;1;1;1;1;2;2;0;0;0;0;3;2;2;0;0
24;24;1;0;1;0;0;3;0;2;0;3;0;2;2;1;1;0
25;25;2;1;3;0;1;1;1;0;0;2;0;3;1;2;1;3
26;26;0;3;1;2;0;2;0;0;0;1;0;1;0;3;0;0
27;27;0;0;1;0;0;3;2;2;1;2;0;3;3;3;2;1
28;28;3;0;1;3;0;0;0;2;0;1;3;1;0;0;2;3
29;29;1;0;0;1;0;0;0;0;0;2;3;1;0;0;2;1
30;30;0;0;2;0;0;3;1;2;0;0;1;3;2;3;3;0
31;31;1;0;0;0;0;2;1;0;1;0;0;3;2;1;0;0
32;32;2;2;0;1;0;0;1;0;1;0;3;3;0;0;3;0
33;33;1;1;1;1;0;2;1;1;0;0;1;3;1;2;2;2
34;34;3;1;0;0;0;0;3;0;2;1;2;2;0;0;2;1
35;35;2;0;0;1;0;2;2;0;2;1;1;3;2;2;3;2
36;36;1;0;1;2;0;0;1;0;0;0;0;1;0;0;3;0
37;37;3;0;1;0;0;2;2;3;0;3;0;3;2;1;1;1
38;38;1;2;1;0;1;3;1;1;1;1;0;2;2;2;2;0
39;39;1;0;2;2;0;3;1;3;2;3;1;3;3;3;2;2
40;40;0;0;1;0;0;1;1;0;0;0;3;0;0;1;2;0
41;41;1;1;0;0;0;2;1;1;1;1;1;3;1;2;2;1
42;42;0;0;3;0;1;2;2;0;0;0;0;3;3;2;2;0
43;43;1;2;0;3;0;1;2;0;2;2;1;3;1;0;3;1
44;44;1;2;2;2;0;1;1;1;0;3;2;3;3;2;3;2
45;45;2;0;2;0;0;1;1;0;0;2;2;2;0;1;1;0
46;46;0;0;0;0;0;3;0;0;0;0;0;0;2;3;0;1
47;47;1;2;0;3;0;1;1;0;0;0;0;2;0;1;3;1
48;48;0;0;0;0;0;2;0;2;0;0;3;3;0;2;3;2
49;49;2;1;3;2;1;1;3;0;0;0;3;2;1;1;3;2
50;50;0;2;2;0;0;3;0;0;0;1;1;1;1;2;3;2
51;51;1;0;2;0;0;3;1;3;1;1;1;3;3;3;1;3
52;52;1;0;2;2;0;3;2;1;1;1;3;1;1;3;3;0
53;53;1;0;2;1;0;3;1;0;0;0;2;2;1;2;3;0
54;54;0;1;0;1;0;2;1;0;0;3;2;1;2;2;3;1
55;55;1;1;3;2;1;2;1;2;0;2;1;3;3;2;3;1
56;56;1;1;1;1;0;1;1;1;0;1;1;2;1;1;3;0
57;57;1;0;0;1;0;0;3;0;1;1;1;0;2;0;3;2
58;58;2;1;0;1;2;0;2;1;1;1;1;2;2;1;2;3
59;59;2;2;3;3;0;0;1;0;0;0;1;0;1;0;2;2
60;60;3;0;0;2;0;2;2;1;0;2;3;2;1;2;3;2
61;61;2;1;2;1;0;1;2;2;2;2;3;3;1;1;3;3
62;62;1;2;2;1;0;2;1;0;2;2;2;2;3;3;3;1
63;63;1;0;2;3;1;2;0;0;0;2;2;3;1;3;3;3
64;64;0;0;0;0;0;3;1;0;0;0;1;1;2;3;1;0
65;65;2;0;1;1;0;1;0;0;0;0;3;2;2;2;3;1
