"interaction_id","survey_id","Classical_Anxiety","Country_Anxiety","EDM_Anxiety","Folk_Anxiety","Gospel_Anxiety","HipHop_Anxiety","Jass_Anxiety","Kpop_Anxiety","Latin_Anxiety","Lofi_Anxiety","Metal_Anxiety","Pop_Anxiety","RB_Anxiety","Rap_Anxiety","Rock_Anxiety","VideoGameMusic_Anxiety","Classical_Depression","Country_Depression","EDM_Depression","Folk_Depression","Gospel_Depression","HipHop_Depression","Jass_Depression","Kpop_Depression","Latin_Depression","Lofi_Depression","Metal_Depression","Pop_Depression","RB_Depression","Rap_Depression","Rock_Depression","VideoGameMusic_Depression","Classical_Insomnia","Country_Insomnia","EDM_Insomnia","Folk_Insomnia","Gospel_Insomnia","HipHop_Insomnia","Jass_Insomnia","Kpop_Insomnia","Latin_Insomnia","Lofi_Insomnia","Metal_Insomnia","Pop_Insomnia","RB_Insomnia","Rap_Insomnia","Rock_Insomnia","VideoGameMusic_Insomnia","Classical_OCD","Country_OCD","EDM_OCD","Folk_OCD","Gospel_OCD","HipHop_OCD","Jass_OCD","Kpop_OCD","Latin_OCD","Lofi_OCD","Metal_OCD","Pop_OCD","RB_OCD","Rap_OCD","Rock_OCD","VideoGameMusic_OCD"
1,1,0.111111,0.0,0.222222,0.111111,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.222222,0.111111,0.0,0.333333,0.111111,0.125,0.0,0.25,0.125,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.375,0.125,1.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,0.166667,0.0,0.333333,0.166667,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.333333,0.166667,0.0,0.5,0.166667
2,2,0.25,0.25,0.5,0.0,0.0,0.25,0.0,0.25,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.25,0.25,0.5,0.0,0.0,0.25,0.0,0.25,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.111111,0.111111,0.222222,0.0,0.0,0.111111,0.0,0.111111,0.222222,0.0,0.0,0.333333,0.0,0.0,0.0,0.111111,0.142857,0.142857,0.285714,0.0,0.0,0.142857,0.0,0.142857,0.285714,0.0,0.0,0.428571,0.0,0.0,0.0,0.142857
3,3,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,4,0.428571,0.0,0.428571,0.0,0.0,0.428571,0.285714,0.285714,0.142857,0.285714,0.0,0.285714,0.428571,0.428571,0.142857,0.285714,0.428571,0.0,0.428571,0.0,0.0,0.428571,0.285714,0.285714,0.142857,0.285714,0.0,0.285714,0.428571,0.428571,0.142857,0.285714,0.333333,0.0,0.333333,0.0,0.0,0.333333,0.222222,0.222222,0.111111,0.222222,0.0,0.222222,0.333333,0.333333,0.111111,0.222222,1.0,0.0,1.0,0.0,0.0,1.0,0.666667,0.666667,0.333333,0.666667,0.0,0.666667,1.0,1.0,0.333333,0.666667
5,5,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.0,0.0,0.75,0.5,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.333333,0.666667,0.666667,0.0,0.0,1.0,0.666667,0.0,0.0,0.142857,0.142857,0.0,0.0,0.0,0.0,0.0,0.142857,0.285714,0.285714,0.0,0.0,0.428571,0.285714,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.25,0.0,0.0,0.375,0.25
6,6,0.5,0.0,0.0,0.0,0.0,1.5,0.5,0.0,0.0,0.0,1.5,1.0,1.0,1.5,1.5,1.5,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,3.0,3.0,0.111111,0.0,0.0,0.0,0.0,0.333333,0.111111,0.0,0.0,0.0,0.333333,0.222222,0.222222,0.333333,0.333333,0.333333,0.333333,0.0,0.0,0.0,0.0,1.0,0.333333,0.0,0.0,0.0,1.0,0.666667,0.666667,1.0,1.0,1.0
7,7,0.5,0.25,0.5,0.25,0.5,0.5,0.25,0.5,0.25,0.5,0.25,0.75,0.5,0.5,0.25,0.0,0.666667,0.333333,0.666667,0.333333,0.666667,0.666667,0.333333,0.666667,0.333333,0.666667,0.333333,1.0,0.666667,0.666667,0.333333,0.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.5,1.0,1.0,0.5,0.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.5,1.0,1.0,0.5,0.0
8,8,0.0909091,0.0909091,0.0,0.0909091,0.181818,0.181818,0.181818,0.0,0.0909091,0.0,0.181818,0.0,0.181818,0.0909091,0.272727,0.181818,0.142857,0.142857,0.0,0.142857,0.285714,0.285714,0.285714,0.0,0.142857,0.0,0.285714,0.0,0.285714,0.142857,0.428571,0.285714,0.111111,0.111111,0.0,0.111111,0.222222,0.222222,0.222222,0.0,0.111111,0.0,0.222222,0.0,0.222222,0.111111,0.333333,0.222222,0.0909091,0.0909091,0.0,0.0909091,0.181818,0.181818,0.181818,0.0,0.0909091,0.0,0.181818,0.0,0.181818,0.0909091,0.272727,0.181818
9,9,0.333333,0.333333,0.333333,0.333333,0.666667,0.333333,0.333333,0.0,0.333333,0.333333,0.0,0.666667,0.666667,0.333333,0.666667,0.666667,0.333333,0.333333,0.333333,0.333333,0.666667,0.333333,0.333333,0.0,0.333333,0.333333,0.0,0.666667,0.666667,0.333333,0.666667,0.666667,0.166667,0.166667,0.166667,0.166667,0.333333,0.166667,0.166667,0.0,0.166667,0.166667,0.0,0.333333,0.333333,0.166667,0.333333,0.333333,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0
10,10,0.0,0.25,0.125,0.375,0.0,0.125,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.25,0.25,0.25,0.0,0.5,0.25,0.75,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.0,1.0,0.5,1.5,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.333333,0.166667,0.5,0.0,0.166667,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.333333,0.333333,0.333333
