"Age","Hours_per_day","Fav_genre","BPM","Frequency_classical","Frequency_country","Frequency_EDM","Frequency_folk","Frequency_gospel","Frequency_hip_hop","Frequency_jazz","Frequency_K_pop","Frequency_latin","Frequency_lofi","Frequency_metal","Frequency_pop","Frequency_R_and_B","Frequency_rap","Frequency_rock","Frequency_video_game_music","Anxiety","Depression","Insomnia","OCD","Music_effect","Age_Hours_Interaction","BPM_Anxiety","BPM_Depression","BPM_Insomnia","BPM_OCD","FavGenre_Musiceffects","id","Age_Group","Hours_per_day_Group","BPM_Group","Anxiety_Group","Depression_Group","Insomnia_Group","OCD_Group","Normalized_HoursPerDay","Normalized_Anxiety","Normalized_Depression","Normalized_Insomnia","Normalized_OCD"
22.0,1.0,"Rock",108.0,"Rarely","Never","Sometimes","Rarely","Never","Never","Very frequently","Never","Never","Never","Never","Sometimes","Rarely","Never","Very frequently","Rarely",8.0,7.0,0.0,5.0,"Improve",22.0,864.0,756.0,0.0,540.0,"Rock_Improve",1,"18-24","1-3 hours","Moderate","High","Medium","No","Medium",0.05,0.4,0.35,0.0,0.25
17.0,3.0,"Classical",120.0,"Very frequently","Never","Very frequently","Never","Never","Very frequently","Sometimes","Sometimes","Rarely","Sometimes","Never","Sometimes","Very frequently","Very frequently","Rarely","Sometimes",6.0,6.0,8.0,2.0,"Improve",51.0,720.0,720.0,960.0,240.0,"Classical_Improve",4,"Under 18","1-3 hours","Moderate","Medium","Medium","High","Low",0.15,0.3,0.3,0.4,0.1
15.0,2.0,"Rock",156.0,"Never","Never","Rarely","Rarely","Never","Never","Never","Never","Never","Rarely","Sometimes","Sometimes","Never","Never","Very frequently","Sometimes",3.0,2.0,6.0,7.0,"Improve",30.0,468.0,312.0,936.0,1092.0,"Rock_Improve",5,"Under 18","1-3 hours","Fast","Low","Low","Medium","Medium",0.1,0.15,0.1,0.3,0.35
18.0,5.0,"Pop",120.0,"Sometimes","Rarely","Sometimes","Rarely","Sometimes","Sometimes","Rarely","Sometimes","Rarely","Sometimes","Rarely","Very frequently","Sometimes","Sometimes","Rarely","Never",3.0,2.0,1.0,1.0,"Improve",90.0,360.0,240.0,120.0,120.0,"Pop_Improve",7,"18-24","3-5 hours","Moderate","Low","Low","No","No",0.25,0.15,0.1,0.05,0.05
16.0,3.0,"Rock",84.0,"Rarely","Rarely","Never","Rarely","Sometimes","Sometimes","Sometimes","Never","Rarely","Never","Sometimes","Never","Sometimes","Rarely","Very frequently","Sometimes",10.0,6.0,8.0,10.0,"Improve",48.0,840.0,504.0,672.0,840.0,"Rock_Improve",8,"Under 18","1-3 hours","Moderate","High","Medium","High","High",0.15,0.5,0.3,0.4,0.5
18.0,1.0,"R&B",155.0,"Rarely","Rarely","Rarely","Rarely","Sometimes","Rarely","Rarely","Never","Rarely","Rarely","Never","Sometimes","Sometimes","Rarely","Sometimes","Sometimes",2.0,2.0,5.0,1.0,"Improve",18.0,310.0,310.0,775.0,155.0,"R&B_Improve",9,"18-24","1-3 hours","Fast","Low","Low","Medium","No",0.05,0.1,0.1,0.25,0.05
17.0,1.0,"Folk",118.0,"Never","Sometimes","Rarely","Very frequently","Never","Rarely","Never","Never","Rarely","Rarely","Rarely","Rarely","Rarely","Sometimes","Sometimes","Sometimes",7.0,3.0,1.0,5.0,"Improve",17.0,826.0,354.0,118.0,590.0,"Folk_Improve",10,"Under 18","1-3 hours","Moderate","Medium","Low","No","Medium",0.05,0.35,0.15,0.05,0.25
16.0,5.0,"Jazz",167.0,"Sometimes","Rarely","Never","Never","Rarely","Rarely","Very frequently","Very frequently","Rarely","Never","Never","Very frequently","Rarely","Very frequently","Sometimes","Never",7.0,7.0,8.0,4.0,"Improve",80.0,1169.0,1169.0,1336.0,668.0,"Jazz_Improve",12,"Under 18","3-5 hours","Fast","Medium","Medium","High","Low",0.25,0.35,0.35,0.4,0.2
21.0,4.0,"Pop",89.0,"Never","Never","Rarely","Never","Never","Sometimes","Never","Rarely","Rarely","Never","Never","Very frequently","Never","Rarely","Never","Never",6.0,8.0,0.0,2.0,"Improve",84.0,534.0,712.0,0.0,178.0,"Pop_Improve",13,"18-24","3-5 hours","Moderate","Medium","High","No","Low",0.2,0.3,0.4,0.0,0.1
18.0,2.0,"Pop",169.0,"Sometimes","Rarely","Rarely","Very frequently","Rarely","Rarely","Rarely","Very frequently","Never","Sometimes","Never","Very frequently","Sometimes","Sometimes","Sometimes","Never",7.0,4.0,2.0,5.0,"Improve",36.0,1183.0,676.0,338.0,845.0,"Pop_Improve",14,"18-24","1-3 hours","Fast","Medium","Low","Low","Medium",0.1,0.35,0.2,0.1,0.25
17.0,5.0,"Metal",95.0,"Never","Sometimes","Rarely","Rarely","Never","Never","Never","Never","Never","Never","Very frequently","Rarely","Never","Never","Very frequently","Sometimes",4.0,1.0,0.0,0.0,"Improve",85.0,380.0,95.0,0.0,0.0,"Metal_Improve",18,"Under 18","3-5 hours","Moderate","Low","No","No","No",0.25,0.2,0.05,0.0,0.0
19.0,8.0,"EDM",125.0,"Rarely","Never","Very frequently","Never","Never","Sometimes","Rarely","Rarely","Rarely","Rarely","Never","Rarely","Rarely","Sometimes","Rarely","Rarely",1.0,0.0,0.0,1.0,"Improve",152.0,125.0,0.0,0.0,125.0,"EDM_Improve",19,"18-24","5+ hours","Fast","No","No","No","No",0.4,0.05,0.0,0.0,0.05
14.0,12.0,"Rock",136.0,"Sometimes","Sometimes","Rarely","Rarely","Rarely","Very frequently","Sometimes","Never","Never","Very frequently","Never","Very frequently","Very frequently","Very frequently","Very frequently","Sometimes",8.0,6.0,10.0,5.0,"Improve",168.0,1088.0,816.0,1360.0,680.0,"Rock_Improve",20,"Under 18","5+ hours","Fast","High","Medium","High","Medium",0.6,0.4,0.3,0.5,0.25
19.0,10.0,"R&B",110.0,"Never","Rarely","Very frequently","Never","Never","Sometimes","Never","Very frequently","Never","Never","Never","Rarely","Very frequently","Rarely","Never","Never",7.0,2.0,1.0,5.0,"Improve",190.0,770.0,220.0,110.0,550.0,"R&B_Improve",22,"18-24","5+ hours","Moderate","Medium","Low","No","Medium",0.5,0.35,0.1,0.05,0.25
18.0,6.0,"Pop",101.0,"Sometimes","Rarely","Rarely","Rarely","Rarely","Sometimes","Sometimes","Never","Never","Never","Never","Very frequently","Sometimes","Sometimes","Never","Never",3.0,2.0,1.0,2.0,"Improve",108.0,303.0,202.0,101.0,202.0,"Pop_Improve",23,"18-24","5+ hours","Moderate","Low","Low","No","Low",0.3,0.15,0.1,0.05,0.1
21.0,3.0,"Hip hop",120.0,"Rarely","Never","Rarely","Never","Never","Very frequently","Never","Sometimes","Never","Very frequently","Never","Sometimes","Sometimes","Rarely","Rarely","Never",9.0,3.0,2.0,7.0,"Improve",63.0,1080.0,360.0,240.0,840.0,"Hip hop_Improve",24,"18-24","1-3 hours","Moderate","High","Low","Low","Medium",0.15,0.45,0.15,0.1,0.35
18.0,2.0,"EDM",150.0,"Sometimes","Rarely","Very frequently","Never","Rarely","Rarely","Rarely","Never","Never","Sometimes","Never","Very frequently","Rarely","Sometimes","Rarely","Very frequently",9.0,0.0,5.0,10.0,"Improve",36.0,1350.0,0.0,750.0,1500.0,"EDM_Improve",25,"18-24","1-3 hours","Fast","High","No","Medium","High",0.1,0.45,0.0,0.25,0.5
19.0,2.0,"Country",88.0,"Never","Very frequently","Rarely","Sometimes","Never","Sometimes","Never","Never","Never","Rarely","Never","Rarely","Never","Very frequently","Never","Never",2.0,1.0,2.0,0.0,"Improve",38.0,176.0,88.0,176.0,0.0,"Country_Improve",26,"18-24","1-3 hours","Moderate","Low","No","Low","No",0.1,0.1,0.05,0.1,0.0
18.0,4.0,"Hip hop",93.0,"Never","Never","Rarely","Never","Never","Very frequently","Sometimes","Sometimes","Rarely","Sometimes","Never","Very frequently","Very frequently","Very frequently","Sometimes","Rarely",2.0,7.0,1.0,1.0,"Improve",72.0,186.0,651.0,93.0,93.0,"Hip hop_Improve",27,"18-24","3-5 hours","Moderate","Low","Medium","No","No",0.2,0.1,0.35,0.05,0.05
36.0,6.0,"Metal",174.0,"Very frequently","Never","Rarely","Very frequently","Never","Never","Never","Sometimes","Never","Rarely","Very frequently","Rarely","Never","Never","Sometimes","Very frequently",5.0,4.0,10.0,2.0,"Improve",216.0,870.0,696.0,1740.0,348.0,"Metal_Improve",28,"35-44","5+ hours","Fast","Medium","Low","High","Low",0.3,0.25,0.2,0.5,0.1
23.0,2.0,"Metal",100.0,"Rarely","Never","Never","Rarely","Never","Never","Never","Never","Never","Sometimes","Very frequently","Rarely","Never","Never","Sometimes","Rarely",6.0,3.0,0.0,1.0,"Improve",46.0,600.0,300.0,0.0,100.0,"Metal_Improve",29,"18-24","1-3 hours","Moderate","Medium","Low","No","No",0.1,0.3,0.15,0.0,0.05
16.0,3.0,"Pop",140.0,"Rarely","Never","Never","Never","Never","Sometimes","Rarely","Never","Rarely","Never","Never","Very frequently","Sometimes","Rarely","Never","Never",7.0,5.0,5.0,3.0,"Improve",48.0,980.0,700.0,700.0,420.0,"Pop_Improve",31,"Under 18","1-3 hours","Fast","Medium","Medium","Medium","Low",0.15,0.35,0.25,0.25,0.15
19.0,4.0,"Pop",156.0,"Rarely","Rarely","Rarely","Rarely","Never","Sometimes","Rarely","Rarely","Never","Never","Rarely","Very frequently","Rarely","Sometimes","Sometimes","Sometimes",7.0,10.0,5.0,0.0,"Improve",76.0,1092.0,1560.0,780.0,0.0,"Pop_Improve",33,"18-24","3-5 hours","Fast","Medium","High","Medium","No",0.2,0.35,0.5,0.25,0.0
18.0,4.0,"Jazz",148.0,"Very frequently","Rarely","Never","Never","Never","Never","Very frequently","Never","Sometimes","Rarely","Sometimes","Sometimes","Never","Never","Sometimes","Rarely",6.0,4.0,7.0,0.0,"Improve",72.0,888.0,592.0,1036.0,0.0,"Jazz_Improve",34,"18-24","3-5 hours","Fast","Medium","Low","Medium","No",0.2,0.3,0.2,0.35,0.0
22.0,2.0,"Rock",98.0,"Sometimes","Never","Never","Rarely","Never","Sometimes","Sometimes","Never","Sometimes","Rarely","Rarely","Very frequently","Sometimes","Sometimes","Very frequently","Sometimes",8.0,6.0,0.0,0.0,"Improve",44.0,784.0,588.0,0.0,0.0,"Rock_Improve",35,"18-24","1-3 hours","Moderate","High","Medium","No","No",0.1,0.4,0.3,0.0,0.0
19.0,8.0,"K pop",100.0,"Very frequently","Never","Rarely","Never","Never","Sometimes","Sometimes","Very frequently","Never","Very frequently","Never","Very frequently","Sometimes","Rarely","Rarely","Rarely",4.0,3.0,0.0,0.0,"Improve",152.0,400.0,300.0,0.0,0.0,"K pop_Improve",37,"18-24","5+ hours","Moderate","Low","Low","No","No",0.4,0.2,0.15,0.0,0.0
29.0,4.0,"Hip hop",140.0,"Rarely","Sometimes","Rarely","Never","Rarely","Very frequently","Rarely","Rarely","Rarely","Rarely","Never","Sometimes","Sometimes","Sometimes","Sometimes","Never",8.0,8.0,5.0,10.0,"Improve",116.0,1120.0,1120.0,700.0,1400.0,"Hip hop_Improve",38,"25-34","3-5 hours","Fast","High","High","Medium","High",0.2,0.4,0.4,0.25,0.5
23.0,4.0,"Hip hop",78.0,"Rarely","Never","Sometimes","Sometimes","Never","Very frequently","Rarely","Very frequently","Sometimes","Very frequently","Rarely","Very frequently","Very frequently","Very frequently","Sometimes","Sometimes",7.0,6.0,7.0,5.0,"Improve",92.0,546.0,468.0,546.0,390.0,"Hip hop_Improve",39,"18-24","3-5 hours","Moderate","Medium","Medium","Medium","Medium",0.2,0.35,0.3,0.35,0.25
23.0,2.0,"Metal",117.0,"Never","Never","Rarely","Never","Never","Rarely","Rarely","Never","Never","Never","Very frequently","Never","Never","Rarely","Sometimes","Never",7.0,3.0,2.0,3.0,"Improve",46.0,819.0,351.0,234.0,351.0,"Metal_Improve",40,"18-24","1-3 hours","Moderate","Medium","Low","Low","Low",0.1,0.35,0.15,0.1,0.15
22.0,1.0,"EDM",128.0,"Never","Never","Very frequently","Never","Rarely","Sometimes","Sometimes","Never","Never","Never","Never","Very frequently","Very frequently","Sometimes","Sometimes","Never",2.0,7.0,5.0,0.0,"Improve",22.0,256.0,896.0,640.0,0.0,"EDM_Improve",42,"18-24","1-3 hours","Fast","Low","Medium","Medium","No",0.05,0.1,0.35,0.25,0.0
16.0,2.5,"Rock",103.0,"Rarely","Sometimes","Never","Very frequently","Never","Rarely","Sometimes","Never","Sometimes","Sometimes","Rarely","Very frequently","Rarely","Never","Very frequently","Rarely",2.0,1.0,0.0,0.0,"Improve",40.0,206.0,103.0,0.0,0.0,"Rock_Improve",43,"Under 18","1-3 hours","Moderate","Low","No","No","No",0.125,0.1,0.05,0.0,0.0
17.0,3.0,"Rock",130.0,"Rarely","Sometimes","Sometimes","Sometimes","Never","Rarely","Rarely","Rarely","Never","Very frequently","Sometimes","Very frequently","Very frequently","Sometimes","Very frequently","Sometimes",7.0,8.0,6.0,5.0,"Improve",51.0,910.0,1040.0,780.0,650.0,"Rock_Improve",44,"Under 18","1-3 hours","Fast","Medium","High","Medium","Medium",0.15,0.35,0.4,0.3,0.25
41.0,3.0,"Metal",130.0,"Sometimes","Never","Sometimes","Never","Never","Rarely","Rarely","Never","Never","Sometimes","Sometimes","Sometimes","Never","Rarely","Rarely","Never",10.0,7.0,8.0,0.0,"Improve",123.0,1300.0,910.0,1040.0,0.0,"Metal_Improve",45,"35-44","1-3 hours","Fast","High","Medium","High","No",0.15,0.5,0.35,0.4,0.0
16.0,8.0,"Hip hop",103.0,"Never","Never","Never","Never","Never","Very frequently","Never","Never","Never","Never","Never","Never","Sometimes","Very frequently","Never","Rarely",8.0,8.0,4.0,3.0,"Improve",128.0,824.0,824.0,412.0,309.0,"Hip hop_Improve",46,"Under 18","5+ hours","Moderate","High","High","Low","Low",0.4,0.4,0.4,0.2,0.15
28.0,0.5,"Folk",130.0,"Rarely","Sometimes","Never","Very frequently","Never","Rarely","Rarely","Never","Never","Never","Never","Sometimes","Never","Rarely","Very frequently","Rarely",4.0,7.0,1.0,0.0,"Improve",14.0,520.0,910.0,130.0,0.0,"Folk_Improve",47,"25-34","0-1 hours","Fast","Low","Medium","No","No",0.025,0.2,0.35,0.05,0.0
36.0,2.0,"Rock",127.0,"Sometimes","Rarely","Very frequently","Sometimes","Rarely","Rarely","Very frequently","Never","Never","Never","Very frequently","Sometimes","Rarely","Rarely","Very frequently","Sometimes",7.0,3.0,1.0,1.0,"Improve",72.0,889.0,381.0,127.0,127.0,"Rock_Improve",49,"35-44","1-3 hours","Fast","Medium","Low","No","No",0.1,0.35,0.15,0.05,0.05
19.0,3.0,"Rock",126.0,"Never","Sometimes","Sometimes","Never","Never","Very frequently","Never","Never","Never","Rarely","Rarely","Rarely","Rarely","Sometimes","Very frequently","Sometimes",5.0,2.0,8.0,6.0,"Improve",57.0,630.0,252.0,1008.0,756.0,"Rock_Improve",50,"18-24","1-3 hours","Fast","Medium","Low","High","Medium",0.15,0.25,0.1,0.4,0.3
19.0,3.0,"R&B",77.0,"Rarely","Never","Sometimes","Never","Never","Very frequently","Rarely","Very frequently","Rarely","Rarely","Rarely","Very frequently","Very frequently","Very frequently","Rarely","Very frequently",5.0,4.0,0.0,1.0,"Improve",57.0,385.0,308.0,0.0,77.0,"R&B_Improve",51,"18-24","1-3 hours","Moderate","Medium","Low","No","No",0.15,0.25,0.2,0.0,0.05
17.0,2.0,"Hip hop",122.0,"Rarely","Never","Sometimes","Sometimes","Never","Very frequently","Sometimes","Rarely","Rarely","Rarely","Very frequently","Rarely","Rarely","Very frequently","Very frequently","Never",10.0,7.0,4.0,2.0,"Improve",34.0,1220.0,854.0,488.0,244.0,"Hip hop_Improve",52,"Under 18","1-3 hours","Fast","High","Medium","Low","Low",0.1,0.5,0.35,0.2,0.1
16.0,12.0,"Hip hop",120.0,"Rarely","Never","Sometimes","Rarely","Never","Very frequently","Rarely","Never","Never","Never","Sometimes","Sometimes","Rarely","Sometimes","Very frequently","Never",5.0,7.0,10.0,0.0,"Improve",192.0,600.0,840.0,1200.0,0.0,"Hip hop_Improve",53,"Under 18","5+ hours","Moderate","Medium","Medium","High","No",0.6,0.25,0.35,0.5,0.0
20.0,4.0,"EDM",161.0,"Rarely","Rarely","Very frequently","Sometimes","Rarely","Sometimes","Rarely","Sometimes","Never","Sometimes","Rarely","Very frequently","Very frequently","Sometimes","Very frequently","Rarely",7.0,2.0,8.0,6.0,"Improve",80.0,1127.0,322.0,1288.0,966.0,"EDM_Improve",55,"18-24","3-5 hours","Fast","Medium","Low","High","Medium",0.2,0.35,0.1,0.4,0.3
29.0,5.0,"Jazz",200.0,"Rarely","Never","Never","Rarely","Never","Never","Very frequently","Never","Rarely","Rarely","Rarely","Never","Sometimes","Never","Very frequently","Sometimes",7.0,2.0,3.0,1.0,"Improve",145.0,1400.0,400.0,600.0,200.0,"Jazz_Improve",57,"25-34","3-5 hours","Very Fast","Medium","Low","Low","No",0.25,0.35,0.1,0.15,0.05
23.0,2.0,"Video game music",80.0,"Sometimes","Rarely","Never","Rarely","Sometimes","Never","Sometimes","Rarely","Rarely","Rarely","Rarely","Sometimes","Sometimes","Rarely","Sometimes","Very frequently",4.0,2.0,3.0,4.0,"Improve",46.0,320.0,160.0,240.0,320.0,"Video game music_Improve",58,"18-24","1-3 hours","Moderate","Low","Low","Low","Low",0.1,0.2,0.1,0.15,0.2
22.0,10.0,"EDM",128.0,"Sometimes","Sometimes","Very frequently","Very frequently","Never","Never","Rarely","Never","Never","Never","Rarely","Never","Rarely","Never","Sometimes","Sometimes",4.0,7.0,7.0,3.0,"Improve",220.0,512.0,896.0,896.0,384.0,"EDM_Improve",59,"18-24","5+ hours","Fast","Low","Medium","Medium","Low",0.5,0.2,0.35,0.35,0.15
18.0,5.0,"Rock",130.0,"Very frequently","Never","Never","Sometimes","Never","Sometimes","Sometimes","Rarely","Never","Sometimes","Very frequently","Sometimes","Rarely","Sometimes","Very frequently","Sometimes",7.0,6.0,5.0,0.0,"Improve",90.0,910.0,780.0,650.0,0.0,"Rock_Improve",60,"18-24","3-5 hours","Fast","Medium","Medium","Medium","No",0.25,0.35,0.3,0.25,0.0
18.0,4.0,"Pop",130.0,"Sometimes","Rarely","Sometimes","Rarely","Never","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Very frequently","Very frequently","Rarely","Rarely","Very frequently","Very frequently",4.0,5.0,6.0,5.0,"Improve",72.0,520.0,650.0,780.0,650.0,"Pop_Improve",61,"18-24","3-5 hours","Fast","Low","Medium","Medium","Medium",0.2,0.2,0.25,0.3,0.25
19.0,3.0,"Rock",160.0,"Rarely","Sometimes","Sometimes","Rarely","Never","Sometimes","Rarely","Never","Sometimes","Sometimes","Sometimes","Sometimes","Very frequently","Very frequently","Very frequently","Rarely",8.0,7.0,4.0,0.0,"Improve",57.0,1280.0,1120.0,640.0,0.0,"Rock_Improve",62,"18-24","1-3 hours","Fast","High","Medium","Low","No",0.15,0.4,0.35,0.2,0.0
15.0,3.0,"Hip hop",120.0,"Never","Never","Never","Never","Never","Very frequently","Rarely","Never","Never","Never","Rarely","Rarely","Sometimes","Very frequently","Rarely","Never",7.0,3.0,0.0,2.0,"Improve",45.0,840.0,360.0,0.0,240.0,"Hip hop_Improve",64,"Under 18","1-3 hours","Moderate","Medium","Low","No","Low",0.15,0.35,0.15,0.0,0.1
24.0,1.0,"Metal",86.0,"Sometimes","Never","Rarely","Rarely","Never","Rarely","Never","Never","Never","Never","Very frequently","Sometimes","Sometimes","Sometimes","Very frequently","Rarely",6.0,4.0,5.0,0.0,"Improve",24.0,516.0,344.0,430.0,0.0,"Metal_Improve",65,"18-24","1-3 hours","Moderate","Medium","Low","Medium","No",0.05,0.3,0.2,0.25,0.0
15.0,8.0,"Hip hop",120.0,"Rarely","Never","Sometimes","Rarely","Never","Very frequently","Sometimes","Very frequently","Sometimes","Rarely","Rarely","Very frequently","Rarely","Very frequently","Sometimes","Sometimes",6.0,9.0,3.0,0.0,"Improve",120.0,720.0,1080.0,360.0,0.0,"Hip hop_Improve",68,"Under 18","5+ hours","Moderate","Medium","High","Low","No",0.4,0.3,0.45,0.15,0.0
29.0,1.0,"Video game music",110.0,"Sometimes","Never","Never","Rarely","Sometimes","Never","Rarely","Never","Never","Never","Never","Sometimes","Rarely","Never","Sometimes","Sometimes",6.0,6.0,1.0,2.0,"Improve",29.0,660.0,660.0,110.0,220.0,"Video game music_Improve",69,"25-34","1-3 hours","Moderate","Medium","Medium","No","Low",0.05,0.3,0.3,0.05,0.1
16.0,4.0,"Rock",120.0,"Sometimes","Rarely","Rarely","Sometimes","Never","Rarely","Rarely","Rarely","Rarely","Sometimes","Sometimes","Very frequently","Rarely","Rarely","Very frequently","Very frequently",9.0,8.0,1.0,2.0,"Improve",64.0,1080.0,960.0,120.0,240.0,"Rock_Improve",70,"Under 18","3-5 hours","Moderate","High","High","No","Low",0.2,0.45,0.4,0.05,0.1
28.0,6.0,"Rock",144.0,"Sometimes","Rarely","Never","Sometimes","Never","Rarely","Rarely","Never","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Very frequently","Very frequently",10.0,8.0,7.0,1.0,"Improve",168.0,1440.0,1152.0,1008.0,144.0,"Rock_Improve",71,"25-34","5+ hours","Fast","High","High","Medium","No",0.3,0.5,0.4,0.35,0.05
17.0,4.0,"Rap",125.0,"Never","Rarely","Rarely","Never","Never","Sometimes","Never","Never","Never","Rarely","Rarely","Sometimes","Never","Very frequently","Sometimes","Never",10.0,10.0,2.0,4.0,"Improve",68.0,1250.0,1250.0,250.0,500.0,"Rap_Improve",72,"Under 18","3-5 hours","Fast","High","High","Low","Low",0.2,0.5,0.5,0.1,0.2
